ID,Station Name,Status,Available Bikes,Available Docks,Time Added
319,Greenview Ave & Diversey Pkwy,In Service,4,11,2013-09-26 20:39:01.0
320,Loomis St & Lexington St,In Service,4,11,2013-09-21 17:46:02.0
321,Wabash Ave & 8th St,In Service,16,3,2013-09-21 16:21:02.0
322,Kimbark Ave & 53rd St,In Service,5,10,2013-09-21 15:12:01.0
323,Sheridan Rd & Lawrence Ave,In Service,7,8,2013-09-23 19:20:01.0
324,Stockton Dr & Wrightwood Ave,In Service,6,9,2013-10-03 23:18:01.0
325,Clark St & Winnemac Ave,In Service,5,10,2013-09-23 19:20:01.0
326,Clark St & Leland Ave,In Service,4,7,2013-09-27 14:15:01.0
327,Sheffield Ave & Webster Ave,In Service,8,11,2013-09-25 12:22:01.0
328,Ellis Ave & 58th St,In Service,7,8,2013-09-25 17:18:02.0
329,Lake Shore Dr & Diversey Pkwy,In Service,6,9,2013-09-25 17:55:01.0
330,Lincoln Ave & Addison St,In Service,7,12,2013-09-26 20:39:01.0
331,Halsted St & Blackhawk St,In Service,4,15,2013-09-28 14:34:01.0
332,Halsted St & Diversey Pkwy,In Service,5,10,2013-09-28 10:29:02.0
333,Ashland Ave & Blackhawk St,In Service,6,9,2013-09-27 16:45:01.0
334,Lake Shore Dr & Belmont Ave,In Service,6,13,2013-09-27 14:49:01.0
335,Calumet Ave & 35th St,In Service,3,12,2013-10-17 16:46:01.0
336,Cottage Grove Ave & 47th St,In Service,5,10,2013-10-17 13:42:01.0
337,Clark St & Chicago Ave,In Service,6,13,2013-09-27 18:25:02.0
338,Calumet Ave & 18th St,In Service,6,9,2013-09-28 13:07:01.0
339,Emerald Ave & 31st St,In Service,5,6,2013-09-28 12:23:01.0
340,Clark St & Wrightwood Ave,In Service,4,11,2013-10-24 12:35:02.0
341,Adler Planetarium,In Service,6,13,2013-10-09 12:20:02.0
342,Wolcott Ave & Polk St,In Service,4,11,2013-10-12 14:19:01.0
343,Racine Ave & Wrightwood Ave,In Service,6,9,2013-10-24 14:13:01.0
344,Wolcott Ave & Lawrence Ave,In Service,0,15,2013-10-09 14:51:01.0
345,Lake Park Ave & 56th St,In Service,5,10,2013-10-09 13:05:02.0
346,Ada St & Washington Blvd,In Service,4,11,2013-10-10 11:46:01.0
347,Ashland Ave & Grace St,In Service,6,9,2013-10-12 17:12:01.0
348,California Ave & 21st St,In Service,5,10,2013-10-14 12:55:02.0
349,Halsted St & Wrightwood Ave,In Service,7,7,2013-10-28 11:45:02.0
350,Ashland Ave & Chicago Ave,In Service,5,10,2013-10-23 03:03:01.0
351,Cottage Grove Ave & 51st St,In Service,5,10,2013-10-17 11:32:01.0
